Transfer Net,Transfer,Designator,Part,IBIS File,IBIS Model,Timing File,Timing Model
sheet1,designator1 -> designator2,designator1,55202_3,55202_3.ibs,3V6XX,55202_3.tmg,55202_3
sheet1,designator1 -> designator2,designator2,Y15w,Y15w.ibs,clkbuff,Y15w.tmg,Y15w
