Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Transfer Net,Driver,Receiver,Corner,Column
0.233,1.677,0.303,1.895,CS,designator1,designator2,SSSE,
0.187,1.133,0.195,1.122,CS,designator1,designator2,FFFE,
