Transfer Net,Driver,Receiver,R / F,Min Etch Delay (ns),Max Etch Delay (ns),AC-DC Slew Rate (V/ns),Corner,Edge #,Time (ns),Pulse Width (ns),Delay Variation (ns),Driver Probe Point,Receiver Node,Min Raw Etch Delay (ns),Max Raw Etch Delay (ns),Min Derate (ns),Max Derate (ns),Standard Load Delay (ns),Simulation,Ac Noise,Ac Noise Source,PATTERN,$RSERIESTERM,$W1:LENGTH,$W2:LENGTH,$W3:LENGTH
sheet1,mydriver,myreceiver,F,1.282,1.282,5.773,TTTE,24,101.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus,,,,
sheet1,mydriver,myreceiver,R,1.282,1.282,5.853,TTTE,25,104.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus,,,,
sheet1,mydriver,myreceiver,F,1.282,1.282,5.766,TTTE,26,107.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus,,,,
sheet1,mydriver,myreceiver,R,1.282,1.282,5.873,TTTE,27,110.058,3.000,0.000,SL_PAD/,myreceiver_pad,1.683,1.683,0.000,0.000,0.401,mydriver_ttte\mydriver_ttte.csd,0.00V,tnet,NJ_2_stimulus,,,,
sheet3,source,target1,F,2.636,2.636,0.520,TTTE,2,33.412,20.000,0.000,SL_PAD/,target1_pad,3.037,3.037,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target1,R,2.637,2.637,0.541,TTTE,3,53.413,20.000,0.000,SL_PAD/,target1_pad,3.038,3.038,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target1,F,2.605,2.605,0.528,TTTE,4,63.381,10.000,0.000,SL_PAD/,target1_pad,3.006,3.006,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target1,R,2.607,2.607,0.538,TTTE,5,73.383,10.000,0.000,SL_PAD/,target1_pad,3.008,3.008,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target1,F,2.606,2.606,0.529,TTTE,6,83.382,10.000,0.000,SL_PAD/,target1_pad,3.007,3.007,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target1,R,2.607,2.607,0.538,TTTE,7,93.383,10.000,0.000,SL_PAD/,target1_pad,3.008,3.008,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target2,F,2.212,2.212,0.583,TTTE,2,32.988,20.000,0.000,SL_PAD/,target2_pad,2.613,2.613,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target2,R,2.213,2.213,0.932,TTTE,3,52.989,20.000,0.000,SL_PAD/,target2_pad,2.614,2.614,0.000,0.000,0.401,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,0.00V,tnet,default_data,50ohm,2in,2in,2in
