Transfer Net,Driver,Receiver,Simulation,Node,Setup Margin (ns),Hold Margin (ns),Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Min Slew Time (ns),Max Slew Time (ns),Min Voltage (V),Max Voltage (V),UI (ns),VinMeas(H/L) Width (ns),Virtual Eye Width (ns),VinMeas Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Inner Eye Min (V),Inner Eye Max (V),Outer Eye Min (V),Outer Eye Max (V),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),Corner,Ac Noise,Ac Noise Source,PATTERN,$RSERIESTERM,$W1:LENGTH,$W2:LENGTH,$W3:LENGTH
sheet1,mydriver,myreceiver,mydriver_ttte\mydriver_ttte.csd,myreceiver_pad,-1.310,1.780,1.281,1.310,1.280,1.310,0.197,0.211,-0.394,3.689,3.000,2.970,2.970,2.970,0.030,3.201,4.084,0.049,3.250,-0.394,3.689,0.028,0.030,0.614,1.112,0.614,TTTE,0.00V,tnet,NJ_2_stimulus,,,,
sheet3,source,target1,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,target1_pad,4.363,3.105,2.607,2.637,2.605,2.636,2.217,2.309,0.001,3.295,10.000,9.968,9.968,9.968,0.032,2.636,3.182,0.331,2.967,0.004,3.185,0.030,0.031,0.337,0.337,0.421,TTTE,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target2,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,target2_pad,4.787,2.681,2.184,2.213,2.181,2.212,1.286,2.147,0.001,3.295,10.000,9.971,9.968,9.969,0.032,2.621,3.211,0.338,2.959,0.003,3.213,0.029,0.030,-0.050,-0.050,0.017,TTTE,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet3,source,target3,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,target3_pad,5.276,2.199,1.700,1.724,1.699,1.723,0.420,2.746,0.001,3.296,10.000,9.976,9.975,9.975,0.025,2.450,3.247,0.424,2.874,0.002,3.249,0.024,0.024,-0.132,-0.132,0.222,TTTE,0.00V,tnet,default_data,50ohm,2in,2in,2in
sheet4,designator2,designator1,designator2_ttte\designator2_ttte.csd,designator1_pad-designator1_l_pad,5.364,1.823,1.323,1.628,1.323,1.636,0.297,0.308,-4.483,4.468,10.000,9.688,9.687,9.993,0.007,6.886,8.949,-3.044,3.842,-4.482,4.466,0.002,0.003,2.002,2.603,2.002,TTTE,0.00V,tnet,default_data,,,,
