Violation Type,Voltage Violation (V),Voltage Rule (V),Actual Voltage (V),Duration Violation (ns),Duration Rule (ns),Actual Duration (ns),Time (ns),Node,Designator,Simulation,Transfer Net,Driver
Ringback high,0.050,2.000,1.950,,,,54.107,target2_pad,target2,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,sheet3,source
Ringback high,0.016,2.000,1.984,,,,74.133,target2_pad,target2,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,sheet3,source
Ringback high,0.015,2.000,1.985,,,,94.119,target2_pad,target2,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,sheet3,source
Ringback high,0.132,2.000,1.868,,,,53.547,target3_pad,target3,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,sheet3,source
Ringback high,0.097,2.000,1.903,,,,73.573,target3_pad,target3,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,sheet3,source
Ringback high,0.097,2.000,1.903,,,,93.559,target3_pad,target3,source_ttte_50oh_2_2_2\source_ttte_50oh_2_2_2.csd,sheet3,source
