Transfer Net,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,VinMeas Margin,Min Slew Time (ns),Max Slew Time (ns),VinH Margin (V),VinL Margin (V),Overshoot Low Margin (V),Overshoot High Margin (V),AC Overshoot Low Area Margin (V*ns),AC Overshoot High Area Margin (V*ns),Non Monotonic Time (ns),Eye Width (ns),VinMeas Jitter (ns),Eye Inner Height (V),Eye Outer Height (V)
ADR,0,0,0,0.834,0.290,1.101,1.376,1.130,,,,,,8.898,0.133,2.415,6.037
CS,0,0,0,0.827,0.287,1.086,1.374,1.123,,,,,,8.913,0.137,2.577,5.765
DQ,0,0,0,0.833,0.232,0.830,1.393,1.126,,,,,,9.171,0.093,2.507,5.540
DQM,0,0,0,0.841,0.218,0.804,1.349,1.109,,,,,,9.197,0.042,2.438,5.831
WE,0,0,0,0.821,0.404,1.262,1.195,0.821,,,,,,8.675,0.185,3.062,4.325
