Setup Margin (ns),Hold Margin (ns),Min Etch Delay (ns),Max Etch Delay (ns),Transfer Net,Driver,Column
2.410,1.597,0.197,1.890,ADR,designator1,
2.405,1.587,0.187,1.895,CS,designator1,
2.797,1.357,-0.072,1.503,DQ,designator1,
2.901,1.267,-0.181,1.399,DQM,designator1,
1.897,1.638,0.238,2.403,WE,designator1,
