Part,Part File,IBIS File,IBIS Component,Timing File,Timing Model,CAD Part Number
stratix,C:\Myproject\SDRAM\si_lib\parts\stratix.prt,stratix.ibs,Stratix,stratix.tmg,stratix,stratix
y95c,C:\Myproject\SDRAM\si_lib\parts\y95c.prt,y95c.ibs,MT48LC32M4A2,y95c.tmg,y95c,"y95c MT48LC32M4A2"
