Part,Part File,IBIS File,IBIS Component,Timing File,Timing Model,CAD Part Number
ad2147x_196_ibs,C:\Myproject\265\si_lib\parts\ad2147x_196_ibs.prt,ad2147x_196_ibs.ibs,ADSP-2147x,ad2147x_196_ibs.tmg,ad2147x_196_ibs,"ad2147x_196_ibs ADSP-2147x"
y14w,C:\Myproject\265\si_lib\parts\y14w.prt,y14w.ibs,MT48LC16M4A2TG,y14w.tmg,y14w,"y14w MT48LC16M4A2TG"
