Setup Margin (ns),Hold Margin (ns),Min Etch Delay (ns),Max Etch Delay (ns),Transfer Net,Column,Ac Noise,Ac Noise Source,$T3:DELAY,PATTERN
No AC specs,No AC specs,0.950,1.174,sheet1,,0.00V,tnet,2.4in,default_data
No AC specs,No AC specs,0.990,1.210,sheet1,,0.00V,tnet,2.6in,default_data
