Transfer Net,Transfer,Designator,Part,IBIS File,IBIS Model,Timing File,Timing Model
sheet1,designator1 -> designator4,designator1,55202_3,55202_3.ibs,3V6XX,55202_3.tmg,55202_3
sheet1,designator1 -> designator4,designator4,stratix2,stratix2.ibs,2s_pci33_cin,stratix2.tmg,stratix2
