Setup Margin (ns),Hold Margin (ns),Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Transfer Net,Column,Ac Noise,Ac Noise Source,$T3:DELAY,PATTERN
No AC specs,No AC specs,0.950,1.076,1.075,1.174,sheet1,,0.00V,tnet,2.4in,default_data
No AC specs,No AC specs,0.990,1.113,1.111,1.210,sheet1,,0.00V,tnet,2.6in,default_data
