Setup Margin (ns),Hold Margin (ns),Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Transfer Net,Driver,Receiver,Corner,Column,Ac Noise,Ac Noise Source,$T3:DELAY,PATTERN,Simulation
No AC specs,No AC specs,0.950,1.076,1.075,1.174,sheet1,designator1,designator4,TTTE,,0.00V,tnet,2.4in,default_data,designator1_ttte_2o4\designator1_ttte_2o4.csd
No AC specs,No AC specs,0.990,1.113,1.111,1.210,sheet1,designator1,designator4,TTTE,,0.00V,tnet,2.6in,default_data,designator1_ttte_2o6\designator1_ttte_2o6.csd
