Setup Margin (ns),Hold Margin (ns),Transfer Net,Simulation,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,Min Slew Time (ns),Max Slew Time (ns),VinH Margin (V),VinL Margin (V),Overshoot Low Margin (V),Overshoot High Margin (V),AC Overshoot Low Area Margin (V*ns),AC Overshoot High Area Margin (V*ns),Non Monotonic Time (ns),Eye Width (ns),VinMeas Jitter (ns),Eye Inner Height (V),Eye Outer Height (V),SIMULATOR,DRIVER,AC_NOISE,AC_NOISE_SOURCE,AGGRESSORS,CORNER,$T3:DELAY,UI,PATTERN
NoDef,NoDef,sheet1,designator1_ttte_2o4\designator1_ttte_2o4.csd,0,0,0,0.096,0.122,2.372,1.739,,,,,,9.830,0.061,3.007,4.772,IsSpice4,designator1,0.000,tnet,0,TTTE,2.4in,10n,default_data
NoDef,NoDef,sheet1,designator1_ttte_2o6\designator1_ttte_2o6.csd,0,0,0,0.096,0.121,2.378,1.742,,,,,,9.833,0.059,2.818,4.784,IsSpice4,designator1,0.000,tnet,0,TTTE,2.6in,10n,default_data
