Simulation,Transfer Net,Driver,Corner,Aggressors,Subcircuit,UI,$T3:DELAY
designator1_ttte_2o4/designator1_ttte_2o4.ckt,sheet1,designator1,TTTE,0,sheet1.tsc,10n,2.4in
designator1_ttte_2o6/designator1_ttte_2o6.ckt,sheet1,designator1,TTTE,0,sheet1.tsc,10n,2.6in
