IBIS File,IBIS Model,Model Type,Corner,Mode,Hspice File,Hspice Model,IV Data,Lib IBIS File,Lib IBIS Model,Vmeas,VmeasRef,VmeasR,VmeasF,Overshoot High,AC Overshoot High,Vin AC High,Vin DC High,AC Ringback High,Ringback High,VinMeas R High,VinMeas F High,VinMeas R Low,VinMeas F Low,Ringback Low,AC Ringback Low,Vin DC Low,Vin AC Low,AC Overshoot Low,Overshoot Low,AC Overshoot High Area,AC Ringback Low Area,Max AC Noise,Crosstalk Sync Thresh,Crosstalk Async Thresh,Crosstalk Delta V,Crosstalk Delta T,Vdiff,Vdiff DC,Vdiff AC,Vdiff Vcm Min,Vdiff Vcm Max,Vcm,Vcm Overshoot,Vdm,TiVW Output Skew,DDR4,ViVW_total,ViVW_dV,Rj_v,VIHL_AC,TiVW_total,TiVW_dj,TiPW,Rj_t,VrefDQ,Vix_DQS,Vix_DQS Ratio,SRIN diVW Min,SRIN diVW Max,SRIdiff Min,SRIdiff Max,Max Eye VinMeas Jitter,Min Eye VinMeas Width,Min Eye VinMeas (H/L) Width,Min Eye VinMeas High Width,Min Eye VinMeas Low Width,Max Eye Outer Height,Min Eye Inner Height,Inner Eye Center Left,Inner Eye Center Right,Outer Eye Center Left,Outer Eye Center Right,Non Monotonic Time,AC Overshoot Time,AC Ringback Time,Slew Time Min,Slew Time Max,Polarity,Enable,Temperature Range,Voltage Range,Pullup Reference,Pulldown Reference,Power Clamp Reference,GND Clamp Reference,Core Voltage,IOVref,Vin_Vref,Probe Points,Stdload Bit Time,C comp,R pkg,C pkg,L pkg,Package File,Package Model,Vref,Rref,Cref,Mod Ref File,Mod Ref,Mod Ref R File,Mod Ref R,Mod Ref F File,Mod Ref F,Td Ref,Zo Ref,Td Back Off Ref,UI Ref,Diff Term File,Diff Term,Mod Ref File Diff,Mod Ref Diff,Force IV 0,Split IV,VT count,Ramp_wf,Tune_wf,dV/dt_r,dV/dt_f,Ramp Offset,Rth_R,Rth_F,Rth_High,Rth_Low,Rth_I,Rdrv_R,Rdrv_F,Rdrv_High,Rdrv_Low,Rterm,Vterm,V Sweep Low,V Sweep High,Used in Tnet
stratix2.ibs,2s_dhstl18c2_co_d16,I/O,SS,,,,Yes,,,.83,NoDef,.83,.83,NoDef,NoDef,1.,1.,NoDef,1.,1.,1.,.8,.8,.8,NoDef,.8,.8,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,85.,1.66,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3p,.77,2.41p,4.37n,,,.79,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,6.467e-001/2.282e-010,6.811e-001/1.521e-010,NoDef,15.472,17.9,32.36,26.22,525.793Meg,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix2.ibs,2s_dhstl18c2_co_d18,I/O,FF,,,,Yes,,,.83,NoDef,.83,.83,NoDef,NoDef,1.,1.,NoDef,1.,1.,1.,.8,.8,.8,NoDef,.8,.8,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,0.,1.89,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3p,.08,500f,500p,,,.79,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,1.007e+000/1.140e-010,9.029e-001/9.500e-011,NoDef,7.796,10.356,15.719,16.383,541.773Meg,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix2.ibs,2s_dhstl18c2_co_d18,I/O,TT,,,,Yes,,,.83,NoDef,.83,.83,NoDef,NoDef,1.,1.,NoDef,1.,1.,1.,.8,.8,.8,NoDef,.8,.8,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,25.,1.8,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3p,.16,710f,950p,,,.79,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,7.990e-001/1.330e-010,9.236e-001/1.330e-010,NoDef,9.772,12.733,20.293,19.701,20.073G,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix2.ibs,2s_dhstl18c2_co_d18,I/O,SS,,,,Yes,,,.83,NoDef,.83,.83,NoDef,NoDef,1.,1.,NoDef,1.,1.,1.,.8,.8,.8,NoDef,.8,.8,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,85.,1.66,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3p,.77,2.41p,4.37n,,,.79,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,6.861e-001/2.080e-010,7.463e-001/1.710e-010,NoDef,13.921,17.9,29.133,26.22,525.793Meg,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix2.ibs,2s_dhstl18c2_co_d20,I/O,FF,,,,Yes,,,.83,NoDef,.83,.83,NoDef,NoDef,1.,1.,NoDef,1.,1.,1.,.8,.8,.8,NoDef,.8,.8,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,0.,1.89,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3p,.08,500f,500p,,,.79,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,9.366e-001/9.500e-011,1.010e+000/9.500e-011,NoDef,7.085,8.586,14.292,13.652,536.253Meg,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix2.ibs,2s_dhstl18c2_co_d20,I/O,TT,,,,Yes,,,.83,NoDef,.83,.83,NoDef,NoDef,1.,1.,NoDef,1.,1.,1.,.8,.8,.8,NoDef,.8,.8,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,25.,1.8,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3p,.16,710f,950p,,,.79,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,8.978e-001/1.330e-010,9.404e-001/1.140e-010,NoDef,8.899,10.612,18.448,16.413,593.739Meg,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix2.ibs,2s_dhstl18c2_co_d20,I/O,SS,,,,Yes,,,.83,NoDef,.83,.83,NoDef,NoDef,1.,1.,NoDef,1.,1.,1.,.8,.8,.8,NoDef,.8,.8,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,85.,1.66,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3p,.77,2.41p,4.37n,,,.79,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,8.053e-001/2.270e-010,7.911e-001/1.520e-010,NoDef,12.658,14.918,26.477,21.844,525.792Meg,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix2.ibs,2s_dhstl18c2_co_r25,I/O,FF,,,,Yes,,,.83,NoDef,.83,.83,NoDef,NoDef,1.,1.,NoDef,1.,1.,1.,.8,.8,.8,NoDef,.8,.8,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,0.,1.89,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3p,.08,500f,500p,,,.79,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,9.888e-001/1.330e-010,9.607e-001/1.140e-010,NoDef,9.174,11.411,18.549,18.12,605.91Meg,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix2.ibs,2s_dhstl18c2_co_r25,I/O,TT,,,,Yes,,,.83,NoDef,.83,.83,NoDef,NoDef,1.,1.,NoDef,1.,1.,1.,.8,.8,.8,NoDef,.8,.8,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,25.,1.8,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3p,.16,710f,950p,,,.79,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,7.659e-001/1.520e-010,8.704e-001/1.330e-010,NoDef,11.534,14.104,23.949,21.783,595.838Meg,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
stratix2.ibs,2s_dhstl18c2_co_r25,I/O,SS,,,,Yes,,,.83,NoDef,.83,.83,NoDef,NoDef,1.,1.,NoDef,1.,1.,1.,.8,.8,.8,NoDef,.8,.8,NoDef,NoDef,NoDef,NoDef,0.,NoDef,NoDef,NoDef,NoDef,.2,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,,85.,1.66,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,,NoDef,3p,.77,2.41p,4.37n,,,.79,50.,0.,,,,,,,NoDef,NoDef,NoDef,NoDef,,,,,,,,NoDef,NoDef,6.977e-001/2.830e-010,6.521e-001/1.520e-010,NoDef,16.429,19.828,34.379,29.006,525.802Meg,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,NoDef,false
