Transfer Net,Designator,Part,IBIS File,IBIS Model,IBIS Model Type,Model Type,Timing File,Timing Pindef,Timing Pin Type,Timing Data
sheet2,receiver,generic_3_3v,generic_3_3v.ibs,3_3V_I,Input,IBIS,generic_3_3v.tmg,DATA_IN,INPUT,Yes
sheet2,sender,generic_3_3v,generic_3_3v.ibs,3_3V_O_fast_40ohm,Output,IBIS,generic_3_3v.tmg,DATA_OUT,OUTPUT,Yes
