Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Transfer Net,Driver,Receiver,Corner,Column
0.322,2.050,0.460,2.403,WE,designator1,designator2,SSSE,
0.238,1.291,0.264,1.377,WE,designator1,designator2,FFFE,
