Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Transfer Net,Driver,Receiver,Corner,Column
2.607,2.637,2.605,2.636,sheet3,source,target1,TTTE,
2.184,2.213,2.181,2.212,sheet3,source,target2,TTTE,
1.700,1.724,1.699,1.723,sheet3,source,target3,TTTE,
