Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Transfer Net,Driver,Receiver,Corner,Column
-0.072,1.310,-0.031,1.503,DQ,designator1,designator2,SSSE,
0.003,0.926,-0.043,0.886,DQ,designator1,designator2,FFFE,
