Transfer Net,Designator,Part,IBIS File,IBIS Model,IBIS Model Type,Model Type,Timing File,Timing Pindef,Timing Pin Type,Timing Data
1st_sheet,designator1,stratix,stratix.ibs,1s_sstl33c2_io,I/O,IBIS,stratix.tmg,1s_sstl33c_io,BIDIR,
1st_sheet,designator2,stratix,stratix.ibs,1s_sstl33c2_io,I/O,IBIS,stratix.tmg,1s_sstl33c_io,BIDIR,
