Setup Margin (ns),Hold Margin (ns),Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Transfer Net,Driver,Receiver,Corner,Column,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN,Simulation
No AC specs,No AC specs,0.659,0.821,0.747,0.876,skew1,designator1,designator2,TTTE,,0.00V,tnet,4in,NJ,designator1_ttte_4\designator1_ttte_4.csd
No AC specs,No AC specs,1.028,1.188,1.113,1.229,skew1,designator1,designator2,TTTE,,0.00V,tnet,6in,NJ,designator1_ttte_6\designator1_ttte_6.csd
