Transfer Net,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,VinMeas Margin,Min Slew Time (ns),Max Slew Time (ns),VinH Margin (V),VinL Margin (V),Overshoot Low Margin (V),Overshoot High Margin (V),AC Overshoot Low Area Margin (V*ns),AC Overshoot High Area Margin (V*ns),Non Monotonic Time (ns),Eye Width (ns),Virtual Eye Width (ns),VinMeas Jitter (ns),Eye Inner Height (V),Eye Outer Height (V),SIMULATOR,AC_NOISE,AC_NOISE_SOURCE,AGGRESSORS,$T1:DELAY,PATTERN
skew1,0,0,0,1.702,0.125,0.162,2.465,1.871,,,,,,2.836,2.836,0.020,5.035,5.564,IsSpice4,0.000,tnet,0,4in,NJ
skew1,0,0,0,1.904,0.114,0.159,2.440,1.904,,,,,,2.842,2.842,0.006,5.498,5.556,IsSpice4,0.000,tnet,0,6in,NJ
