Setup Margin (ns),Hold Margin (ns),Transfer Net,Simulation,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,Min Slew Time (ns),Max Slew Time (ns),VinH Margin (V),VinL Margin (V),Overshoot Low Margin (V),Overshoot High Margin (V),AC Overshoot Low Area Margin (V*ns),AC Overshoot High Area Margin (V*ns),Non Monotonic Time (ns),Eye Width (ns),VinMeas Jitter (ns),Eye Inner Height (V),Eye Outer Height (V),SIMULATOR,DRIVER,AC_NOISE,AC_NOISE_SOURCE,AGGRESSORS,CORNER,$T1:DELAY,UI,PATTERN
NoDef,NoDef,skew1,designator1_ttte_4\designator1_ttte_4.csd,0,0,0,0.125,0.162,2.465,1.871,,,,,,2.836,0.020,5.035,5.564,IsSpice4,designator1,0.000,tnet,0,TTTE,4in,3n,NJ
NoDef,NoDef,skew1,designator1_ttte_6\designator1_ttte_6.csd,0,0,0,0.114,0.159,2.440,1.904,,,,,,2.842,0.006,5.498,5.556,IsSpice4,designator1,0.000,tnet,0,TTTE,6in,3n,NJ
