Transfer Net,Driver,Receiver,Simulation,Node,Setup Margin (ns),Hold Margin (ns),Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Min Slew Time (ns),Max Slew Time (ns),Min Voltage (V),Max Voltage (V),UI (ns),VinMeas(H/L) Width (ns),Virtual Eye Width (ns),VinMeas Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Inner Eye Min (V),Inner Eye Max (V),Outer Eye Min (V),Outer Eye Max (V),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),Corner,Ac Noise,Ac Noise Source,$T1:DELAY,$T2:DELAY,$T4:DELAY,PATTERN
sheet1,IO0,Controller,io0_ssse_3_1o5_1o5\io0_ssse_3_1o5_1o5.csd,Controller_pad,7.958,3.660,0.860,0.959,0.962,1.042,0.067,0.095,-0.682,3.503,15.000,14.819,14.818,14.899,0.101,2.753,4.119,0.143,2.896,-0.682,3.438,0.006,0.013,0.596,0.757,0.596,SSSE,0.00V,tnet,3in,1.5in,1.5in,default_clock
sheet1,IO1,Controller,io1_ssse_3_1o5_1o5\io1_ssse_3_1o5_1o5.csd,Controller_pad,7.755,3.876,1.076,1.170,1.168,1.245,0.070,0.092,-0.706,3.816,15.000,14.815,14.831,14.894,0.106,2.489,4.519,0.398,2.887,-0.706,3.813,0.004,0.006,0.467,0.535,0.467,SSSE,0.00V,tnet,3in,1.5in,1.5in,default_clock
sheet1,Controller,IO0,controller_ssse_4_0o75_0o75\controller_ssse_4_0o75_0o75.csd,IO0_pad,7.920,3.724,0.924,1.022,1.009,1.080,0.065,0.093,-0.658,3.802,15.000,14.802,14.844,14.880,0.120,2.623,4.456,0.331,2.954,-0.658,3.798,0.009,0.005,0.197,0.429,0.197,SSSE,0.00V,tnet,4in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,controller_ssse_4_0o75_0o75\controller_ssse_4_0o75_0o75.csd,IO1_pad,7.719,3.923,1.123,1.226,1.203,1.281,0.071,0.099,-0.701,3.824,15.000,14.797,14.842,14.876,0.124,2.686,4.517,0.250,2.936,-0.698,3.819,0.010,0.006,0.475,0.475,0.489,SSSE,0.00V,tnet,4in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,io0_ssse_4_0o75_0o75\io0_ssse_4_0o75_0o75.csd,Controller_pad,7.940,3.708,0.908,1.005,0.986,1.060,0.065,0.094,-0.705,3.859,15.000,14.797,14.848,14.875,0.125,2.842,4.564,0.277,3.118,-0.704,3.859,0.005,0.007,0.277,0.652,0.277,SSSE,0.00V,tnet,4in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,io1_ssse_4_0o75_0o75\io1_ssse_4_0o75_0o75.csd,Controller_pad,7.713,3.910,1.110,1.222,1.201,1.287,0.075,0.110,-0.709,3.835,15.000,14.798,14.823,14.889,0.111,2.606,4.545,0.258,2.864,-0.709,3.835,0.004,0.008,0.252,0.425,0.252,SSSE,0.00V,tnet,4in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,IO0_pad,6.866,3.732,0.932,1.019,1.005,2.134,0.065,0.082,-0.671,3.705,15.000,13.875,13.798,14.874,0.126,2.595,4.364,0.316,2.911,-0.663,3.701,0.006,0.007,-0.110,0.134,-0.110,SSSE,0.00V,tnet,4in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,IO1_pad,7.570,4.072,1.272,1.373,1.352,1.430,0.069,0.099,-0.709,3.869,15.000,14.799,14.842,14.878,0.122,2.513,4.573,0.321,2.834,-0.709,3.864,0.004,0.008,0.437,0.524,0.437,SSSE,0.00V,tnet,4in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,io0_ssse_4_0o75_1o5\io0_ssse_4_0o75_1o5.csd,Controller_pad,7.917,3.740,0.940,1.030,1.008,1.083,0.067,0.087,-0.693,3.737,15.000,14.796,14.857,14.869,0.131,2.802,4.429,0.108,2.910,-0.693,3.737,0.005,0.008,0.403,0.628,0.403,SSSE,0.00V,tnet,4in,0.75in,1.5in,default_clock
sheet1,IO1,Controller,io1_ssse_4_0o75_1o5\io1_ssse_4_0o75_1o5.csd,Controller_pad,7.561,4.063,1.263,1.365,1.350,1.439,0.075,0.097,-0.704,3.877,15.000,14.804,14.824,14.886,0.115,2.269,4.580,0.504,2.773,-0.704,3.877,0.008,0.009,0.292,0.322,0.292,SSSE,0.00V,tnet,4in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,controller_ssse_4_1o5_0o75\controller_ssse_4_1o5_0o75.csd,IO0_pad,7.781,3.863,1.063,1.166,1.146,1.219,0.063,0.098,-0.676,3.757,15.000,14.795,14.844,14.877,0.123,2.634,4.431,0.409,3.043,-0.675,3.756,0.005,0.009,0.581,0.757,0.581,SSSE,0.00V,tnet,4in,1.5in,0.75in,default_clock
sheet1,Controller,IO1,controller_ssse_4_1o5_0o75\controller_ssse_4_1o5_0o75.csd,IO1_pad,7.712,3.931,1.131,1.221,1.208,1.288,0.070,0.088,-0.673,3.728,15.000,14.803,14.843,14.881,0.119,2.517,4.351,0.385,2.902,-0.673,3.679,0.003,0.008,0.558,1.226,0.558,SSSE,0.00V,tnet,4in,1.5in,0.75in,default_clock
sheet1,IO0,Controller,io0_ssse_4_1o5_0o75\io0_ssse_4_1o5_0o75.csd,Controller_pad,7.784,3.879,1.079,1.164,1.147,1.216,0.062,0.080,-0.696,3.835,15.000,14.800,14.863,14.869,0.131,2.823,4.530,0.273,3.096,-0.696,3.834,0.006,0.007,0.495,0.762,0.495,SSSE,0.00V,tnet,4in,1.5in,0.75in,default_clock
sheet1,IO1,Controller,io1_ssse_4_1o5_0o75\io1_ssse_4_1o5_0o75.csd,Controller_pad,7.748,3.918,1.118,1.214,1.174,1.252,0.069,0.094,-0.704,3.853,15.000,14.779,14.866,14.856,0.144,2.705,4.557,0.388,3.094,-0.704,3.852,0.005,0.006,0.561,0.685,0.561,SSSE,0.00V,tnet,4in,1.5in,0.75in,default_clock
sheet1,Controller,IO0,controller_ssse_4_1o5_1o5\controller_ssse_4_1o5_1o5.csd,IO0_pad,7.788,3.881,1.081,1.173,1.137,1.212,0.068,0.089,-0.677,3.665,15.000,14.785,14.869,14.861,0.139,2.459,4.342,0.371,2.830,-0.677,3.665,0.005,0.005,0.136,0.476,0.136,SSSE,0.00V,tnet,4in,1.5in,1.5in,default_clock
sheet1,Controller,IO1,controller_ssse_4_1o5_1o5\controller_ssse_4_1o5_1o5.csd,IO1_pad,7.570,4.075,1.275,1.369,1.358,1.430,0.066,0.088,-0.702,3.821,15.000,14.804,14.845,14.880,0.120,2.447,4.522,0.412,2.859,-0.702,3.821,0.009,0.006,0.577,0.735,0.577,SSSE,0.00V,tnet,4in,1.5in,1.5in,default_clock
sheet1,IO0,Controller,io0_ssse_4_1o5_1o5\io0_ssse_4_1o5_1o5.csd,Controller_pad,7.770,3.878,1.078,1.170,1.148,1.230,0.071,0.088,-0.699,3.793,15.000,14.798,14.848,14.878,0.122,2.419,4.486,0.176,2.595,-0.699,3.787,0.005,0.006,0.527,0.838,0.527,SSSE,0.00V,tnet,4in,1.5in,1.5in,default_clock
sheet1,IO1,Controller,io1_ssse_4_1o5_1o5\io1_ssse_4_1o5_1o5.csd,Controller_pad,7.586,4.094,1.294,1.379,1.346,1.414,0.062,0.083,-0.703,3.846,15.000,14.786,14.880,14.856,0.144,2.693,4.549,0.370,3.062,-0.703,3.846,0.005,0.004,0.620,0.660,0.620,SSSE,0.00V,tnet,4in,1.5in,1.5in,default_clock
sheet1,Controller,IO0,controller_ssse_5_0o75_0o75\controller_ssse_5_0o75_0o75.csd,IO0_pad,7.726,3.927,1.127,1.218,1.203,1.274,0.065,0.088,-0.675,3.786,15.000,14.800,14.853,14.876,0.124,2.531,4.460,0.414,2.945,-0.675,3.785,0.004,0.005,0.195,0.368,0.195,SSSE,0.00V,tnet,5in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,controller_ssse_5_0o75_0o75\controller_ssse_5_0o75_0o75.csd,IO1_pad,7.519,4.135,1.335,1.435,1.400,1.481,0.073,0.099,-0.703,3.815,15.000,14.786,14.854,14.866,0.134,2.396,4.510,0.452,2.848,-0.701,3.809,0.004,0.007,0.429,0.429,0.512,SSSE,0.00V,tnet,5in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,io0_ssse_5_0o75_0o75\io0_ssse_5_0o75_0o75.csd,Controller_pad,7.726,3.915,1.115,1.202,1.200,1.274,0.063,0.083,-0.710,3.869,15.000,14.815,14.841,14.886,0.114,2.416,4.578,0.357,2.773,-0.710,3.869,0.006,0.008,0.129,0.824,0.129,SSSE,0.00V,tnet,5in,0.75in,0.75in,default_clock
