Setup Margin (ns),Hold Margin (ns),Data R/F,Transfer Net,Driver,Receiver,UI (ns),Min Data Etch Delay (ns),Max Data Etch Delay (ns),Min Tco (ns),Max Tco (ns),Setup (ns),Hold (ns),Setup Skew (ns),Hold Skew (ns),Source Clock Net,Target Clock Net,Simulation,Corner
8.041,3.660,R,sheet1,IO0,Controller,15.000,0.860,0.959,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_3_1o5_1o5\io0_ssse_3_1o5_1o5.csd,SSSE
7.958,3.762,F,sheet1,IO0,Controller,15.000,0.962,1.042,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_3_1o5_1o5\io0_ssse_3_1o5_1o5.csd,SSSE
7.830,3.876,R,sheet1,IO1,Controller,15.000,1.076,1.170,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_3_1o5_1o5\io1_ssse_3_1o5_1o5.csd,SSSE
7.755,3.968,F,sheet1,IO1,Controller,15.000,1.168,1.245,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_3_1o5_1o5\io1_ssse_3_1o5_1o5.csd,SSSE
7.978,3.724,R,sheet1,Controller,IO0,15.000,0.924,1.022,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_0o75_0o75\controller_ssse_4_0o75_0o75.csd,SSSE
7.920,3.809,F,sheet1,Controller,IO0,15.000,1.009,1.080,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_0o75_0o75\controller_ssse_4_0o75_0o75.csd,SSSE
7.774,3.923,R,sheet1,Controller,IO1,15.000,1.123,1.226,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_0o75_0o75\controller_ssse_4_0o75_0o75.csd,SSSE
7.719,4.003,F,sheet1,Controller,IO1,15.000,1.203,1.281,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_0o75_0o75\controller_ssse_4_0o75_0o75.csd,SSSE
7.995,3.708,R,sheet1,IO0,Controller,15.000,0.908,1.005,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_4_0o75_0o75\io0_ssse_4_0o75_0o75.csd,SSSE
7.940,3.786,F,sheet1,IO0,Controller,15.000,0.986,1.060,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io0_ssse_4_0o75_0o75\io0_ssse_4_0o75_0o75.csd,SSSE
7.778,3.910,R,sheet1,IO1,Controller,15.000,1.110,1.222,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_4_0o75_0o75\io1_ssse_4_0o75_0o75.csd,SSSE
7.713,4.001,F,sheet1,IO1,Controller,15.000,1.201,1.287,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,io1_ssse_4_0o75_0o75\io1_ssse_4_0o75_0o75.csd,SSSE
7.981,3.732,R,sheet1,Controller,IO0,15.000,0.932,1.019,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,SSSE
6.866,3.805,F,sheet1,Controller,IO0,15.000,1.005,2.134,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,SSSE
7.627,4.072,R,sheet1,Controller,IO1,15.000,1.272,1.373,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,SSSE
7.570,4.152,F,sheet1,Controller,IO1,15.000,1.352,1.430,3.800,3.800,1.700,0.500,-0.500,0.500,NA,NA,controller_ssse_4_0o75_1o5\controller_ssse_4_0o75_1o5.csd,SSSE
