Setup Margin (ns),Hold Margin (ns),Min Etch Delay (ns),Max Etch Delay (ns),Transfer Net,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,VinMeas Margin,Min Slew Time (ns),Max Slew Time (ns),VinH Margin (V),VinL Margin (V),Overshoot Low Margin (V),Overshoot High Margin (V),AC Overshoot Low Area Margin (V*ns),AC Overshoot High Area Margin (V*ns),Non Monotonic Time (ns),Eye Width (ns),Virtual Eye Width (ns),VinMeas Jitter (ns),Eye Inner Height (V),Eye Outer Height (V),Column,Ac Noise,Ac Noise Source,$T3:DELAY,PATTERN
No AC specs,No AC specs,0.950,1.174,sheet1,0,0,0,1.002,0.096,0.122,2.372,1.739,,,,,,9.830,9.830,0.061,3.007,4.772,,0.00V,tnet,2.4in,default_data
No AC specs,No AC specs,0.990,1.210,sheet1,0,0,0,1.010,0.096,0.121,2.378,1.742,,,,,,9.833,9.833,0.059,2.818,4.784,,0.00V,tnet,2.6in,default_data
