Transfer Net,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,VinMeas Margin,Min Slew Time (ns),Max Slew Time (ns),VinH Margin (V),VinL Margin (V),Overshoot Low Margin (V),Overshoot High Margin (V),AC Overshoot Low Area Margin (V*ns),AC Overshoot High Area Margin (V*ns),Non Monotonic Time (ns),Eye Width (ns),Virtual Eye Width (ns),VinMeas Jitter (ns),Eye Inner Height (V),Eye Outer Height (V),SIMULATOR,AC_NOISE,AC_NOISE_SOURCE,AGGRESSORS,$T3:DELAY,PATTERN
sheet1,0,0,0,1.002,0.096,0.122,2.372,1.739,,,,,,9.830,9.830,0.061,3.007,4.772,IsSpice4,0.000,tnet,0,2.4in,default_data
sheet1,0,0,0,1.010,0.096,0.121,2.378,1.742,,,,,,9.833,9.833,0.059,2.818,4.784,IsSpice4,0.000,tnet,0,2.6in,default_data
