Transfer Net,Designator,Part,IBIS File,IBIS Model,IBIS Model Type,Model Type,Timing File,Timing Pindef,Timing Pin Type,Timing Data
sheet1,designator1,55202_3,55202_3.ibs,3V6XX,Output,IBIS,55202_3.tmg,Q,OUTPUT,
sheet1,designator4,stratix2,stratix2.ibs,2s_pci33_cin,Input,IBIS,stratix2.tmg,,,
