Warning,Part,IBIS File,IBIS Component,Timing File,Timing Model,Pin Number,Pin Name,Model Name,Model Type,Additional Data
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,29, 2s_cmos33_cin_p,2s_cmos33_cin_p,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,30, 2s_cmos33_rrin,2s_cmos33_rrin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,31, 2s_cmos33_rtin,2s_cmos33_rtin,Input,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,32, 2s_hstl15c1_cio_d4,2s_hstl15c1_cio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,33, 2s_hstl15c1_cio_d6,2s_hstl15c1_cio_d6,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,34, 2s_hstl15c1_cio_d8,2s_hstl15c1_cio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,35, 2s_hstl15c1_cio_d10,2s_hstl15c1_cio_d10,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,36, 2s_hstl15c1_cio_d12,2s_hstl15c1_cio_d12,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,37, 2s_hstl15c1_rrio_d4,2s_hstl15c1_rrio_d4,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,38, 2s_hstl15c1_rrio_d6,2s_hstl15c1_rrio_d6,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,39, 2s_hstl15c1_rrio_d8,2s_hstl15c1_rrio_d8,I/O,
Part pin not referenced in Transfer Net List,stratix2,stratix2.ibs,StratixII,stratix2.tmg,stratix2,40, 2s_hstl15c1_rtio_d4,2s_hstl15c1_rtio_d4,I/O,
