Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Transfer Net,Driver,Receiver,Corner,Column
0.233,1.675,0.301,1.890,ADR,designator1,designator2,SSSE,
0.197,1.145,0.199,1.128,ADR,designator1,designator2,FFFE,
