Setup Margin (ns),Hold Margin (ns),Min Etch Delay (ns),Max Etch Delay (ns),Transfer Net,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,VinMeas Margin,Min Slew Time (ns),Max Slew Time (ns),VinH Margin (V),VinL Margin (V),Overshoot Low Margin (V),Overshoot High Margin (V),AC Overshoot Low Area Margin (V*ns),AC Overshoot High Area Margin (V*ns),Non Monotonic Time (ns),Eye Width (ns),Virtual Eye Width (ns),VinMeas Jitter (ns),Eye Inner Height (V),Eye Outer Height (V),Transfer Net,Column,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN
2.897,1.597,0.197,1.403,ADR,0,0,0,0.843,0.290,1.101,1.376,1.130,,,,,,8.898,8.898,0.132,2.960,5.527,ADR,,0.00V,tnet,2in,default_clock
2.799,1.731,0.331,1.501,ADR,0,0,0,0.874,0.316,0.966,1.486,1.165,,,,,,8.975,8.975,0.091,2.887,5.759,ADR,,0.00V,tnet,3in,default_clock
2.739,1.931,0.531,1.561,ADR,0,0,0,0.834,0.306,0.895,1.582,1.215,,,,,,9.042,9.042,0.133,2.628,5.939,ADR,,0.00V,tnet,4in,default_clock
2.593,2.096,0.696,1.707,ADR,0,0,0,0.835,0.306,0.881,1.678,1.293,,,,,,9.091,9.091,0.085,2.434,6.002,ADR,,0.00V,tnet,5in,default_clock
2.410,2.224,0.824,1.890,ADR,0,0,0,0.869,0.300,0.823,1.758,1.351,,,,,,9.162,9.162,0.063,2.415,6.037,ADR,,0.00V,tnet,6in,default_clock
