Setup Margin (ns),Hold Margin (ns),Min Etch Delay (ns),Max Etch Delay (ns),Transfer Net,Waveform Fatal Count,Waveform Quality Count,Waveform Overshoot Count,VinMeas Margin,Min Slew Time (ns),Max Slew Time (ns),VinH Margin (V),VinL Margin (V),Overshoot Low Margin (V),Overshoot High Margin (V),AC Overshoot Low Area Margin (V*ns),AC Overshoot High Area Margin (V*ns),Non Monotonic Time (ns),Eye Width (ns),Virtual Eye Width (ns),VinMeas Jitter (ns),Eye Inner Height (V),Eye Outer Height (V),Column,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN
No AC specs,No AC specs,0.659,0.876,skew1,0,0,0,1.702,0.125,0.162,2.465,1.871,,,,,,2.836,2.836,0.020,5.035,5.564,,0.00V,tnet,4in,NJ
No AC specs,No AC specs,1.028,1.229,skew1,0,0,0,1.904,0.114,0.159,2.440,1.904,,,,,,2.842,2.842,0.006,5.498,5.556,,0.00V,tnet,6in,NJ
