Setup Margin (ns),Hold Margin (ns),Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Transfer Net,Column,Ac Noise,Ac Noise Source,$T1:DELAY,PATTERN
No AC specs,No AC specs,0.659,0.821,0.747,0.876,skew1,,0.00V,tnet,4in,NJ
No AC specs,No AC specs,1.028,1.188,1.113,1.229,skew1,,0.00V,tnet,6in,NJ
