Part,Pin Number,Pin Name,Pin Type,IBIS Model,Timing Pindef,Pindef Type,IBIS File,IBIS Component,Timing File,Timing Model,Transfer Net,Overlapping Transfer Net
Y15w,39,DQM,Input,inbuff3,DQM,Input,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,40,NC,,NC,,,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,41,VSS,,GND,,,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,42,NC,,NC,,,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,43,VDDQ,,POWER,,,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,44,DQ2,I/O,dqbuff,DQ,I/O,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,45,NC,,NC,,,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,46,VSSQ,,GND,,,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,47,NC,,NC,,,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,48,NC,,NC,,,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,49,VDDQ,,POWER,,,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,50,DQ3,I/O,dqbuff,DQ,I/O,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,51,NC,,NC,,,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,52,VSSQ,,GND,,,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,53,NC,,NC,,,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
Y15w,54,VSS,,GND,,,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,
