Part,Part File,IBIS File,IBIS Component,Timing File,Timing Model,CAD Part Number
55202_3,C:\Myproject\chapter9\si_lib\parts\55202_3.prt,55202_3.ibs,ICS552-02,55202_3.tmg,55202_3,"55202_3 ICS552-02"
Y15w,C:\Myproject\chapter9\si_lib\parts\y15w.prt,Y15w.ibs,MT48LC32M4A2TG,Y15w.tmg,Y15w,"Y15w MT48LC32M4A2TG"
